egoid,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7
96689,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
22587,,,,,,
43581,Not at all,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a week
75578,,,,,,
43507,,,,,,
91551,,,,,,
30676,,,,,,
19030,,,,,,
33657,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
76521,,,,,,
52848,,,,,,
40231,,,,,,
65656,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
30610,,,,,,
36117,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
82587,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
14690,,,,,,
40569,,,,,,
97021,,,,,,
26320,Not at all,Not at all,1-2 times a week,Not at all,Not at all,1-2 times a week
77532,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
92515,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
97844,,,,,,
81647,,,,,,
33127,,,,,,
45958,,,,,,
49790,Not at all,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all,Three times a week or more
74251,,,,,,
28326,,,,,,
20507,,,,,,
71592,,,,,,
15181,Not at all,1-2 times a month,Not at all,Not at all,Not at all,1-2 times a month
70209,,,,,,
78657,,,,,,
21887,,,,,,
48154,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Not at all
92953,,,,,,
90192,,,,,,
51495,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Three times a week or more
34344,,,,,,
21793,,,,,,
37218,,,,,,
17932,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
95026,,,,,,
66800,,,,,,
73693,,,,,,
80429,,,,,,
75149,,,,,,
61659,,,,,,
81420,,,,,,
33740,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
37979,,,,,,
87192,,,,,,
67709,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
36552,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
14301,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
36384,,,,,,
63138,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
51298,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
74632,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
16654,,,,,,
54394,,,,,,
84768,,,,,,
29134,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more
24029,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
35361,,,,,,
87056,,,,,,
49086,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
67917,,,,,,
85503,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
60008,,,,,,
66542,,,,,,
55881,,,,,,
86265,,,,,,
10732,,,,,,
22119,,,,,,
50797,,,,,,
39564,,,,,,
39285,,,,,,
22460,,,,,,
25172,,,,,,
77134,,,,,,
22143,,,,,,
93766,,,,,,
45097,,,,,,
26289,,,,,,
95490,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a week
66979,,,,,,
23253,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
12900,,,,,,
90079,,,,,,
47584,Not at all,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
97990,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
39248,,,,,,
29354,,,,,,
25743,,,,,,
