egoid,usetobacco_4,usebeer_4,usewine_4,usedrugs_4,usedrugs_prescr_4,usecaffine_4
44070,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
49010,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
98760,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
95374,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
71985,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
43125,Not at all,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,1-2 times a week
98117,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
22989,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Not at all,Three times a week or more
24883,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
20650,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week
19460,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
66815,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
89161,Not at all,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
54956,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
14847,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
85453,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
19827,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
31121,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
38683,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
82918,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
43382,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
44344,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a month
94215,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
80675,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
57144,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
94662,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
98700,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
33341,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
65072,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
37148,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
11910,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
75438,Not at all,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
99733,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
27407,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
14250,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
43794,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
73918,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
60216,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
28681,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
51437,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
21932,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
29733,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
98206,Not at all,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week
36385,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
54030,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
67993,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
96543,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,1-2 times a week
49800,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
